,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Deck,side,InGroup
48,Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,311.1387779083431,0.0,No,E,S,False
49,Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,No,E,S,False
50,Earth,False,TRAPPIST-1e,28.82793046746535,False,4.0,0.0,2.0,4683.0,0.0,No,G,S,False
51,Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,Yes,F,S,False
52,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Yes,A,S,True
53,Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Yes,A,S,True
54,Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Yes,A,S,True
55,Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,No,G,S,False
56,Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,No,F,S,False
57,Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,No,F,S,False
58,Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,S,True
59,Earth,True,TRAPPIST-1e,33.0,False,0.0,0.0,173.72916912197996,0.0,0.0,Yes,E,S,True
60,Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,No,G,P,False
61,Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,S,True
62,Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,Yes,G,S,True
63,Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,No,F,S,True
64,Mars,False,TRAPPIST-1e,28.82793046746535,False,793.0,0.0,2.0,253.0,0.0,No,E,S,False
65,Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,Yes,F,S,False
66,Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,No,F,P,False
67,Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,No,F,P,False
68,Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,No,F,S,False
69,Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,No,D,P,False
70,Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,Yes,C,S,False
71,Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,Yes,F,S,False
72,Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,Yes,F,P,False
73,Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,No,C,S,False
74,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,No,G,S,False
75,Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,No,F,P,True
76,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,P,True
77,Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,P,True
78,Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,Yes,G,S,False
79,Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Yes,C,S,False
80,Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,No,F,P,False
81,Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,Yes,E,S,False
82,Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,S,False
83,Earth,True,TRAPPIST-1e,26.0,False,224.687617481203,0.0,0.0,0.0,0.0,Yes,G,S,True
84,Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,No,F,S,True
85,Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,No,G,P,True
86,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,173.72916912197996,0.0,0.0,Yes,G,P,True
87,Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
88,Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,No,A,S,False
89,Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,No,G,P,True
90,Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,Yes,G,P,True
91,Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,No,F,P,True
92,Earth,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
93,Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,S,False
94,Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,No,F,S,False
95,Earth,False,TRAPPIST-1e,24.0,False,0.0,458.07720329024676,0.0,0.0,17.0,Yes,F,S,True
96,Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,S,True
97,Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,No,G,S,True
98,Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,No,F,P,False
99,Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,No,D,S,False
100,Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,No,G,S,True
101,Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,No,G,S,True
102,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,S,True
103,Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,No,G,S,True
104,Europa,False,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,No,B,P,True
105,Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Yes,B,P,True
106,Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Yes,B,P,True
107,Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,Yes,E,S,False
108,Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,Yes,B,S,False
109,Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,Yes,F,P,False
110,Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,No,G,S,False
111,Mars,False,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,304.8547912992357,Yes,F,P,False
112,Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,Yes,D,P,False
113,Earth,False,TRAPPIST-1e,39.0,False,0.0,2344.0,0.0,65.0,6898.0,No,A,P,True
114,Europa,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Yes,A,P,True
115,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,304.8547912992357,Yes,F,P,False
116,Earth,False,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,699.0,74.0,No,G,S,False
117,Earth,False,TRAPPIST-1e,18.0,False,55.0,597.0,49.0,0.0,1.0,No,F,P,False
118,Mars,True,TRAPPIST-1e,67.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,S,False
119,Mars,False,TRAPPIST-1e,35.0,False,701.0,0.0,296.0,0.0,25.0,No,E,S,False
120,Mars,False,TRAPPIST-1e,61.0,True,2353.0,334.0,9.0,316.0,2.0,No,D,S,True
121,Mars,False,TRAPPIST-1e,45.0,False,2103.0,6.0,0.0,0.0,0.0,No,E,S,True
122,Earth,True,PSO J318.5-22,22.0,False,0.0,0.0,173.72916912197996,0.0,0.0,Yes,G,S,False
123,Mars,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,S,True
124,Mars,False,TRAPPIST-1e,36.0,False,2738.0,0.0,0.0,0.0,0.0,No,D,S,True
125,Earth,False,TRAPPIST-1e,19.0,False,0.0,14.0,730.0,0.0,0.0,Yes,G,P,False
126,Earth,False,PSO J318.5-22,47.0,False,97.0,418.0,126.0,25.0,55.0,No,G,S,False
127,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
128,Earth,False,TRAPPIST-1e,34.0,False,0.0,22.0,0.0,564.0,207.0,No,E,P,True
129,Europa,True,55 Cancri e,35.0,False,0.0,0.0,0.0,0.0,0.0,Yes,C,S,False
130,Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
131,Earth,False,TRAPPIST-1e,26.0,False,440.0,0.0,0.0,0.0,462.0,No,F,P,True
132,Mars,False,TRAPPIST-1e,31.0,False,224.687617481203,0.0,97.0,0.0,0.0,No,F,P,False
133,Earth,False,TRAPPIST-1e,20.0,False,0.0,420.0,210.0,0.0,0.0,Yes,F,S,False
134,Earth,False,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,No,G,S,False
135,Earth,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,S,False
136,Mars,False,TRAPPIST-1e,42.0,False,1072.0,0.0,10.0,0.0,76.0,No,F,P,False
137,Earth,True,55 Cancri e,28.82793046746535,False,0.0,0.0,0.0,0.0,0.0,Yes,G,S,False
138,Earth,True,55 Cancri e,38.0,False,0.0,0.0,0.0,0.0,0.0,No,G,P,False
139,Earth,False,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,607.0,No,F,P,False
140,Earth,False,TRAPPIST-1e,22.0,False,4119.0,0.0,0.0,0.0,61.0,No,G,P,False
141,Europa,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Yes,B,P,True
142,Europa,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Yes,B,P,True
143,Earth,False,TRAPPIST-1e,57.0,False,50.0,1688.0,0.0,311.1387779083431,135.0,Yes,G,S,True
144,Earth,True,PSO J318.5-22,17.0,False,0.0,0.0,0.0,0.0,0.0,No,G,S,True
145,Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,P,False
146,Mars,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,S,True
147,Mars,False,TRAPPIST-1e,27.0,False,1365.0,0.0,48.0,22.0,137.0,No,F,S,True
148,Earth,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,No,G,P,False
149,Earth,False,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,221.0,567.0,No,E,S,False
150,Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,S,False
151,Earth,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,False
152,Earth,False,TRAPPIST-1e,58.0,False,0.0,985.0,0.0,5.0,0.0,Yes,E,S,False
153,Earth,False,55 Cancri e,21.0,False,287.0,0.0,16.0,115.0,175.0,No,F,P,False
154,Europa,False,TRAPPIST-1e,38.0,False,0.0,10346.0,1.0,14970.0,2111.0,No,B,S,False
155,Mars,False,TRAPPIST-1e,38.0,False,3414.0,0.0,161.0,28.0,119.0,No,D,S,False
156,Earth,False,TRAPPIST-1e,19.0,False,1.0,219.0,673.0,2.0,11.0,Yes,G,P,True
157,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,No,G,P,True
158,Earth,False,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
159,Earth,False,TRAPPIST-1e,20.0,False,0.0,0.0,3.0,299.0,92.0,No,G,P,False
160,Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Yes,C,P,False
161,Earth,False,TRAPPIST-1e,37.0,False,17.0,146.0,426.0,0.0,232.0,Yes,F,S,False
162,Earth,False,TRAPPIST-1e,25.0,False,62.0,0.0,0.0,0.0,956.0,No,G,P,False
163,Earth,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,S,False
164,Earth,False,55 Cancri e,49.0,False,84.0,3.0,401.0,202.0,98.0,No,E,P,False
165,Earth,True,55 Cancri e,11.0,False,0.0,0.0,0.0,0.0,0.0,No,G,S,False
166,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
167,Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,No,G,P,True
168,Earth,False,TRAPPIST-1e,39.0,False,0.0,0.0,10.0,898.0,0.0,No,G,P,True
169,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,P,True
170,Mars,False,TRAPPIST-1e,23.0,False,224.687617481203,0.0,8.0,1072.0,0.0,No,F,P,True
171,Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,P,True
172,Mars,False,TRAPPIST-1e,39.0,False,406.0,0.0,867.0,0.0,0.0,Yes,F,P,False
173,Mars,False,PSO J318.5-22,25.0,False,1052.0,0.0,719.0,0.0,7.0,No,D,P,False
174,Europa,False,TRAPPIST-1e,36.0,False,0.0,972.0,0.0,795.0,575.0,No,C,P,False
175,Earth,False,PSO J318.5-22,52.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,False
176,Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,No,G,S,False
177,Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,False
178,Europa,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Yes,B,S,True
179,Europa,True,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,Yes,B,S,True
180,Europa,True,55 Cancri e,45.0,False,0.0,0.0,0.0,0.0,0.0,Yes,B,P,True
181,Europa,False,55 Cancri e,28.82793046746535,False,0.0,2433.0,173.72916912197996,878.0,443.0,Yes,A,P,True
182,Europa,True,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,Yes,C,S,False
183,Earth,False,TRAPPIST-1e,29.0,False,0.0,2.0,66.0,0.0,705.0,No,G,S,False
184,Europa,False,55 Cancri e,28.82793046746535,False,2.0,1720.0,12.0,1125.0,122.0,Yes,C,S,False
185,Earth,True,PSO J318.5-22,19.0,False,0.0,0.0,0.0,0.0,0.0,No,G,P,False
186,Earth,True,55 Cancri e,24.0,False,0.0,0.0,173.72916912197996,0.0,0.0,Yes,D,P,False
187,Mars,False,TRAPPIST-1e,29.0,False,902.0,1.0,137.0,0.0,0.0,Yes,F,P,True
188,Mars,True,TRAPPIST-1e,11.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,P,True
189,Mars,False,TRAPPIST-1e,17.0,False,848.0,0.0,307.0,182.0,0.0,No,F,P,True
190,Earth,False,TRAPPIST-1e,13.0,False,192.0,0.0,0.0,51.0,739.0,No,E,P,True
191,Earth,False,TRAPPIST-1e,35.0,False,147.0,188.0,0.0,10.0,387.0,No,F,P,True
192,Earth,False,TRAPPIST-1e,21.0,False,367.0,281.0,0.0,0.0,146.0,No,F,P,False
193,Earth,False,55 Cancri e,21.0,False,0.0,56.0,0.0,0.0,1918.0,No,F,S,False
194,Earth,False,TRAPPIST-1e,38.0,False,1517.0,0.0,0.0,27.0,0.0,No,F,P,False
195,Earth,True,TRAPPIST-1e,19.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,False
196,Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
197,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
198,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,No,G,P,True
199,Earth,False,TRAPPIST-1e,25.0,False,122.0,84.0,173.72916912197996,0.0,0.0,No,E,P,True
200,Earth,False,TRAPPIST-1e,16.0,False,0.0,3.0,0.0,0.0,1099.0,No,F,P,True
201,Earth,False,55 Cancri e,1.0,False,0.0,0.0,0.0,0.0,0.0,No,G,P,True
202,Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,True
203,Mars,False,55 Cancri e,21.0,False,2237.0,0.0,119.0,0.0,0.0,No,E,S,True
204,Mars,False,TRAPPIST-1e,23.0,False,1215.0,80.0,1.0,2.0,0.0,No,E,S,True
205,Mars,False,TRAPPIST-1e,33.0,False,1933.0,12.0,188.0,1.0,0.0,No,E,S,True
206,Mars,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Yes,E,S,True
207,Mars,False,TRAPPIST-1e,41.0,False,1230.0,0.0,301.0,43.0,1023.0,No,E,S,True
208,Mars,False,TRAPPIST-1e,16.0,False,915.0,0.0,221.0,234.0,0.0,No,E,S,True
209,Mars,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,No,E,S,True
210,Mars,False,TRAPPIST-1e,20.0,False,1406.0,0.0,0.0,11.0,0.0,No,F,S,True
211,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,S,True
212,Mars,True,TRAPPIST-1e,16.0,False,0.0,0.0,0.0,0.0,0.0,Yes,E,S,True
213,Earth,False,TRAPPIST-1e,21.0,False,0.0,2.0,665.0,0.0,9.0,No,G,S,False
214,Mars,False,TRAPPIST-1e,32.0,True,181.0,0.0,5.0,1634.0,0.0,No,F,S,False
215,Earth,True,PSO J318.5-22,58.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,False
216,Earth,False,TRAPPIST-1e,24.0,False,4.0,7.0,0.0,713.0,79.0,No,F,S,False
217,Mars,False,TRAPPIST-1e,30.0,False,85.0,0.0,1.0,1720.0,0.0,No,F,S,False
218,Earth,True,PSO J318.5-22,27.0,False,0.0,458.07720329024676,0.0,0.0,0.0,No,G,S,False
219,Mars,False,TRAPPIST-1e,32.0,False,56.0,0.0,256.0,1438.0,0.0,No,F,S,False
220,Earth,False,TRAPPIST-1e,43.0,False,224.687617481203,888.0,0.0,0.0,0.0,No,F,P,False
221,Europa,True,TRAPPIST-1e,42.0,False,0.0,0.0,0.0,0.0,0.0,Yes,B,P,False
222,Mars,False,TRAPPIST-1e,37.0,False,637.0,0.0,0.0,92.0,319.0,No,G,S,False
223,Mars,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,P,False
224,Europa,False,55 Cancri e,33.0,False,0.0,1249.0,0.0,4812.0,1116.0,No,E,P,False
225,Earth,False,TRAPPIST-1e,18.0,False,313.0,1.0,691.0,283.0,0.0,No,F,S,False
226,Earth,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,No,G,S,False
227,Mars,True,TRAPPIST-1e,43.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,S,True
228,Mars,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,S,True
229,Europa,False,55 Cancri e,46.0,False,0.0,3571.0,0.0,0.0,7.0,Yes,C,P,True
230,Europa,False,TRAPPIST-1e,33.0,False,0.0,86.0,796.0,584.0,10912.0,No,C,P,True
231,Mars,False,TRAPPIST-1e,21.0,False,2947.0,0.0,287.0,27.0,0.0,No,D,P,False
232,Europa,False,TRAPPIST-1e,33.0,False,0.0,1.0,0.0,8620.0,1063.0,No,C,S,False
233,Earth,True,PSO J318.5-22,47.0,False,224.687617481203,0.0,0.0,0.0,0.0,No,G,S,False
234,Earth,True,55 Cancri e,54.0,False,0.0,0.0,0.0,0.0,0.0,Yes,C,S,False
235,Earth,False,TRAPPIST-1e,30.0,False,335.0,695.0,541.0,0.0,0.0,No,F,P,False
236,Earth,False,TRAPPIST-1e,29.0,False,272.0,615.0,0.0,0.0,1.0,No,G,P,False
237,Earth,False,TRAPPIST-1e,21.0,False,702.0,172.0,408.0,2.0,6.0,Yes,F,P,False
238,Europa,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,Yes,A,S,False
239,Mars,False,55 Cancri e,21.0,False,1664.0,0.0,173.72916912197996,0.0,0.0,No,F,S,True
240,Mars,True,TRAPPIST-1e,60.0,False,0.0,0.0,0.0,0.0,0.0,Yes,F,S,True
241,Earth,False,TRAPPIST-1e,22.0,False,0.0,0.0,313.0,299.0,92.0,No,F,S,False
242,Europa,False,TRAPPIST-1e,26.0,False,0.0,4810.0,0.0,981.0,2054.0,No,E,S,False
243,Earth,False,TRAPPIST-1e,26.0,False,66.0,29.0,0.0,0.0,803.0,No,F,P,False
244,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Yes,G,P,False
245,Europa,True,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,311.1387779083431,0.0,Yes,D,S,False
246,Earth,False,TRAPPIST-1e,13.0,False,118.0,0.0,0.0,754.0,1.0,No,F,S,False
247,Earth,False,55 Cancri e,47.0,False,0.0,231.0,592.0,0.0,0.0,Yes,F,S,False
248,Earth,False,TRAPPIST-1e,63.0,False,0.0,25.0,128.0,0.0,1240.0,No,F,P,False
249,Europa,True,55 Cancri e,28.82793046746535,False,0.0,0.0,0.0,0.0,0.0,Yes,D,S,False
250,Earth,False,55 Cancri e,50.0,False,44.0,2390.0,0.0,53.0,0.0,Yes,F,P,False
251,Earth,False,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,888.0,304.8547912992357,No,G,S,True
252,Earth,False,TRAPPIST-1e,45.0,False,0.0,97.0,0.0,14.0,333.0,No,G,P,True
253,Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,2078.0,0.0,0.0,Yes,F,P,False
254,Earth,False,TRAPPIST-1e,21.0,False,0.0,918.0,0.0,0.0,0.0,Yes,F,S,False
